rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
4,20,50,14,20,0.5480059213178953,3.013544317238293,0.28780951377734704,-0.4109018609946571,0.5653126748336402,56.0,9
4,20,50,14,28,0.5546951765971929,3.441077943289717,0.27966136731898694,-0.4165297718543297,0.5987997411510968,51.111111111111114,9
4,20,50,14,36,0.6143730754803962,4.306074152351755,0.3101154968253932,-0.4062619925586211,0.6101803892263897,46.333333333333336,9
4,20,50,14,44,0.7266814607830462,6.123808800006767,0.4397980813372329,-0.3408905249055479,0.6200941404675385,43.55555555555556,9
4,20,50,18,20,0.5175856444936068,2.6540815471538273,0.25473726728194546,-0.41649148549964593,0.5775449085734139,53.22222222222222,9
4,20,50,18,28,0.6235484288434451,4.103902178849101,0.31171561850698326,-0.3964299563321238,0.6177249107063938,48.55555555555556,9
4,20,50,18,36,0.7466940118874457,5.639827307605876,0.4105857549252305,-0.3859193921969497,0.6519430789254411,45.0,9
4,20,50,18,44,0.7543429991763626,5.350554789685639,0.44974918469282127,-0.3772072406539839,0.6533172240847556,41.0,9
4,20,50,22,20,0.5835699474226796,2.5512839145747384,0.2869243577441311,-0.3889940927753424,0.5893556909943464,49.77777777777778,9
4,20,50,22,28,0.7480263417376667,5.109833366496652,0.38382666998356996,-0.4051839534157582,0.6374986351947719,46.0,9
4,20,50,22,36,0.7381203947416568,5.51136874002641,0.43244921955616605,-0.3708696800457156,0.6525431502175688,42.666666666666664,9
4,20,50,22,44,0.7437450131595209,6.280741186759034,0.4299709100744067,-0.3684037251766421,0.6524498327129905,39.22222222222222,9
4,20,60,8,20,0.5587134187168857,3.709412071775072,0.2783988245835162,-0.4104471452458592,0.5722155078648737,62.111111111111114,9
4,20,60,8,28,0.583827553582194,4.052465061953407,0.32146354881354317,-0.3779934533607772,0.5610554991793608,54.44444444444444,9
4,20,60,8,36,0.6078774610595612,4.866552036685268,0.33480519484598914,-0.37087610094106643,0.5797551826715297,48.111111111111114,9
4,20,60,8,44,0.6368079659417154,6.56065898858007,0.3553383971558843,-0.38377823524391913,0.558492921979535,46.22222222222222,9
4,20,60,10,20,0.5760418090891012,3.7827571952195567,0.31615776811850527,-0.3938280695503356,0.5674906321951458,59.44444444444444,9
4,20,60,10,28,0.5798663489531408,3.4357638594117788,0.3041313589322612,-0.3875380313392744,0.5619186414633789,52.666666666666664,9
4,20,60,10,36,0.6296748665258849,5.705713914247691,0.366830608678943,-0.3563093657782481,0.5777983870435005,46.22222222222222,9
